Time Elapsed (seconds),xAcceleration (g),yAcceleration (g),zAcceleration (g),xVelocity (ft/s),yVelocity (ft/s),zVelocity (ft/s),xPosition (ft),yPosition (ft),zPosition (ft)
2.8107842E-4,2.8107842E-4,6.8295933E-4,-4.7886372E-4,0.0,0.0,0.0,0.0,0.0,0.0
-1.4592157E-4,-1.4592157E-4,5.609598E-4,-5.398989E-4,0.0021977855,0.02022737,-0.0165661,0.0011098817,0.010214822,-0.00836588
-9.3892164E-4,-9.3892164E-4,1.19600445E-5,7.009506E-5,-0.03296122,0.0387953,-0.03179211,-0.029853515,0.069621146,-0.05703842
-4.5092162E-4,-4.5092162E-4,-4.903972E-5,-7.839203E-4,-0.1004263,0.036995396,-0.066442266,-0.23093522,0.18387562,-0.20512676
2.2007844E-4,2.2007844E-4,1.949612E-4,-1.128912E-4,-0.1153595,0.04643503,-0.12445682,-0.6644489,0.35148734,-0.5886431
-2.3921573E-5,-2.3921573E-5,-1.1003949E-4,-7.2288513E-4,-0.09950571,0.05329857,-0.19200593,-1.2037606,0.6018187,-1.3829646
-7.559216E-4,-7.559216E-4,1.3395958E-4,7.009506E-5,-0.17512733,0.055618107,-0.2553072,-2.030818,0.92982125,-2.7300482
-4.5092162E-4,-4.5092162E-4,1.949612E-4,7.009506E-5,-0.31162432,0.09281987,-0.23945135,-3.740533,1.4512097,-4.467888
-5.7292153E-4,-5.7292153E-4,-2.3203902E-4,-4.7886372E-4,-0.4439404,0.08802813,-0.29227844,-6.772992,2.1770432,-6.601986
-1.4592157E-4,-1.4592157E-4,-1.7104112E-4,7.009506E-5,-0.54844797,0.029427134,-0.35170645,-11.253626,2.7073536,-9.509578
4.0307842E-4,4.0307842E-4,5.609598E-4,-0.0013328791,-0.50691324,0.09240493,-0.55566525,-16.547318,3.3184633,-14.060954
